id	rate	linear	gaussian	random	outliers	bigGap	range350	range750up	gamma2.2	gamma.45
5147	0.091	1820	-0.22	4717	80	2	270	970	3733.851604	1312.847457
5149	0.064	1830	-0.31	1928	22	78	288	970	3779.134923	1316.121397
6001	0.113	1840	1.3	3204	93	11	220	824	3824.716158	1319.385594
6003	0.152	1850	-1.3	5010	2	56	345	893	3870.595635	1322.640128
6005	0.121	1860	1.4	5036	31	12	154	796	3916.773676	1325.88508
6007	0.122	1870	-0.85	2586	57	79	344	870	3963.250603	1329.120531
6009	0.143	1880	0.97	1239	83	135	180	857	4010.026738	1332.346558
6011	0.145	1890	-1.3	3048	85	115	113	798	4057.102399	1335.563238
6013	0.112	1900	0.63	655	35	115	164	933	4104.477905	1338.770649
6015	0.119	1910	0.58	7131	20	65	188	878	4152.153571	1341.968864
6017	0.112	1920	-2.1	7903	35	101	106	951	4200.129715	1345.15796
6019	0.141	1930	0.064	689	72	139	289	762	4248.406649	1348.338008
6021	0.138	1940	-1.4	1538	39	100	193	837	4296.984685	1351.509081
6023	0.103	1950	0.13	2386	38	48	147	987	4345.864137	1354.671251
6025	0.301	1960	0.67	5146	80	43	174	770	4395.045313	1357.824588
6027	0.095	1970	-0.21	5170	79	102	228	790	4444.528522	1360.969162
6029	0.139	1980	-2.2	3296	3	143	234	799	4494.314072	1364.105041
6031	0.139	1990	0.62	4457	2	51	240	866	4544.40227	1367.232293
6033	0.147	2000	-1.5	5770	92	127	297	930	4594.79342	1370.350985
6035	0.118	2010	0.88	7200	33	53	59	875	4645.487826	1373.461183
6037	0.127	2020	2	240	38	53	340	864	4696.485791	1376.562952
6039	0.123	2030	2.3	3081	7	20	50	948	4747.787617	1379.656357
6041	0.08	2040	-0.62	1076	1	99	286	948	4799.393603	1382.741461
6043	0.088	2050	-0.89	4827	47	131	121	962	4851.304049	1385.818327
6045	0.101	2060	0.53	7843	32	130	193	826	4903.519253	1388.887017
6047	0.157	2070	0.49	1600	17	25	169	969	4956.039511	1391.947593
6049	0.111	2080	0.65	8786	17	145	217	879	5008.865118	1395.000114
6051	0.103	2090	-1.2	993	74	142	13	776	5061.996371	1398.044641
6053	0.1	2100	0.55	6408	55	150	139	947	5115.433561	1401.081233
6055	0.087	2110	0.84	1999	36	7	286	916	5169.176981	1404.109947
6057	0.109	2120	-2	7159	76	92	220	832	5223.226922	1407.130842
6059	0.094	2130	1.7	5387	11	94	18	784	5277.583674	1410.143975
6061	0.113	2140	-1.7	8555	37	77	185	891	5332.247525	1413.149401
6063	0.139	2150	-0.49	1997	88	49	111	977	5387.218765	1416.147177
6065	0.147	2160	-0.87	2455	29	63	162	832	5442.497679	1419.137357
6067	0.122	2170	1.4	4300	100	82	111	918	5498.084554	1422.119995
6069	0.125	2180	-0.4	5770	24	133	165	824	5553.979673	1425.095146
6071	0.136	2190	-0.77	2843	76	21	139	979	5610.18332	1428.062861
6073	0.102	2200	0.49	4917	59	3	104	781	5666.695779	1431.023195
6075	0.097	2210	0.87	8428	59	100	160	908	5723.51733	1433.976198
6077	0.155	2220	-0.76	984	51	122	50	761	5780.648253	1436.921921
6079	0.09	2230	1.7	5999	70	150	231	789	5838.088829	1439.860416
6081	0.09	2240	0.71	6844	88	33	120	944	5895.839336	1442.791731
6083	0.085	2250	0.13	939	85	78	100	913	5953.900052	1445.715918
6085	0.118	2260	-1.2	3475	62	58	340	756	6012.271252	1448.633024
6087	0.102	2270	-1.2	5622	54	4	75	839	6070.953212	1451.543098
6089	0.147	2280	-0.27	8263	92	145	1	780	6129.946207	1454.446188
6091	0.137	2290	1.6	9210	76	122	118	842	6189.25051	1457.342341
6093	0.135	2300	0.45	2259	13	89	313	763	6248.866395	1460.231604
6095	0.115	2310	-2.2	8657	65	5	158	843	6308.794132	1463.114023
6097	0.099	2320	0.11	4368	94	18	130	848	6369.033992	1465.989643
6099	0.153	2330	1.4	6152	63	84	218	849	6429.586246	1468.858511
6101	0.151	2340	1.2	2500	27	32	91	878	6490.451161	1471.720671
6103	0.137	2350	1.5	3996	93	129	271	976	6551.629006	1474.576166
6105	0.159	2360	-0.67	2861	86	33	285	910	6613.120048	1477.425042
6107	0.149	2370	0.58	9438	89	140	278	975	6674.924553	1480.26734
6109	0.127	2380	-1.7	1897	19	51	125	891	6737.042786	1483.103105
6111	0.11	2390	-0.16	1044	87	106	232	879	6799.475012	1485.932378
6113	0.109	2400	-1.3	5819	45	73	322	763	6862.221493	1488.755201
6115	0.178	2410	-1.1	1686	13	96	274	769	6925.282493	1491.571616
8001	0.081	2420	-0.31	5645	76	28	136	923	6988.658273	1494.381663
8003	0.055	2430	0.049	4618	53	110	339	877	7052.349094	1497.185385
8005	0.069	2440	-0.31	4678	96	77	217	962	7116.355216	1499.982819
8007	0.062	2450	-0.52	7583	93	71	49	808	7180.676897	1502.774007
8009	0.034	2460	0.029	375	54	64	321	789	7245.314397	1505.558988
8011	0.05	2470	1.9	3087	19	9	147	929	7310.267972	1508.337801
8013	0.055	2480	-0.14	1728	17	24	210	826	7375.53788	1511.110484
8014	0.066	2490	0.38	4265	85	12	46	768	7441.124375	1513.877075
8015	0.051	2500	-1.6	3772	7	125	310	857	7507.027712	1516.637612
8017	0.02	2510	0.57	6717	18	6	99	822	7573.248147	1519.392133
8019	0.07	2520	-0.39	5479	81	19	27	761	7639.785932	1522.140674
8021	0.051	2530	-0.38	1538	26	116	267	896	7706.641319	1524.883273
8023	0.084	2540	1.6	998	57	105	143	783	7773.81456	1527.619965
8025	0.076	2550	0.76	6195	24	74	231	929	7841.305906	1530.350787
8027	0.052	2560	0.92	9288	6	92	156	962	7909.115608	1533.075773
8029	0.066	2570	-0.11	4749	65	14	190	817	7977.243914	1535.794959
8031	0.077	2580	0.69	7536	58	21	241	774	8045.691073	1538.508381
8033	0.132	2590	-1.2	1923	69	136	0	965	8114.457332	1541.216072
8035	0.059	2600	0.45	3246	71	82	205	818	8183.54294	1543.918066
8037	0.062	2610	2.2	3248	46	81	325	878	8252.948141	1546.614398
8039	0.06	2620	1.2	4578	65	102	114	870	8322.673182	1549.3051
8041	0.072	2630	0.22	3739	88	75	255	848	8392.718306	1551.990207
8043	0.077	2640	-1.5	6835	35	146	288	803	8463.083759	1554.669751
8045	0.058	2650	1.5	4799	57	85	163	773	8533.769783	1557.343764
8047	0.06	2660	-1.2	7308	68	73	20	943	8604.776621	1560.012279
8049	0.058	2670	0.26	4863	77	27	239	789	8676.104515	1562.675327
8051	0.044	2680	-0.21	9922	54	137	141	886	8747.753705	1565.332941
8053	0.022	2690	-0.7	9989	72	10	35	945	8819.724432	1567.985151
8055	0.072	2700	0.62	7589	26	94	94	960	8892.016935	1570.631988
8057	0.033	2710	-0.12	6385	44	118	91	902	8964.631454	1573.273484
8059	0.067	2720	-1.6	7873	81	103	319	795	9037.568226	1575.909669
8061	0.028	2730	0.69	7294	52	129	326	793	9110.827489	1578.540572
8063	0.029	2740	0.16	2575	50	59	228	970	9184.409481	1581.166224
8065	0.071	2750	-0.28	8082	28	52	103	941	9258.314436	1583.786654
8067	0.047	2760	-0.48	6530	82	1	134	988	9332.54259	1586.401892
8069	0.056	2770	1.3	1121	27	44	217	808	9407.094178	1589.011966
8071	0.07	2780	0.18	7577	43	28	79	871	9481.969434	1591.616906
8073	0.037	2790	0.37	890	54	108	242	907	9557.168592	1594.21674
8075	0.046	2800	-0.59	9451	25	72	154	878	9632.691884	1596.811496
8077	0.082	2810	-0.66	2050	90	42	63	955	9708.539542	1599.401202
8079	0.053	2820	1	6685	40	31	6	947	9784.711797	1601.985886
8081	0.056	2830	0.33	2301	90	25	295	839	9861.208881	1604.565576
8083	0.063	2840	-0.13	6496	24	53	86	884	9938.031023	1607.140298
8085	0.069	2850	0.15	9636	93	109	134	756	10015.17845	1609.71008
8087	0.049	2860	-0.41	7834	36	73	44	819	10092.6514	1612.274948
8089	0.058	2870	1.3	7314	98	4	312	825	10170.45009	1614.83493
8091	0.041	2880	-0.38	1290	88	138	342	783	10248.57475	1617.39005
8093	0.061	2890	-0.012	6478	30	65	6	770	10327.02561	1619.940336
8095	0.026	2900	0.22	4631	60	130	125	767	10405.8029	1622.485813
8097	0.05	2910	-0.23	1844	7	96	238	959	10484.90683	1625.026507
8099	0.05	2920	1.5	1305	22	21	107	978	10564.33765	1627.562443
8101	0.075	2930	-0.6	244	62	20	319	964	10644.09556	1630.093647
8103	0.039	2940	-0.81	1565	48	90	323	859	10724.18079	1632.620142
8105	0.048	2950	2.2	1964	29	2	299	785	10804.59358	1635.141954
8107	0.06	2960	-1.8	7084	41	61	189	760	10885.33413	1637.659108
8109	0.078	2970	-1	2995	350	48	141	990	10966.40267	1640.171628
8111	0.053	2980	1.2	2282	12	2	107	807	11047.79943	1642.679538
8113	0.042	2990	1.2	7462	47	5	185	756	11129.52461	1645.182861
8115	0.033	3000	-0.77	6368	42	85	293	953	11211.57846	1647.681622
8117	0.058	3010	-0.59	8575	40	102	277	837	11293.96117	1650.175843
8119	0.067	3020	2	6750	6	95	205	879	11376.67298	1652.665549
8121	0.032	3030	0.51	8381	46	62	212	972	11459.7141	1655.150762
8123	0.075	3040	-0.11	3793	8	4	327	893	11543.08474	1657.631506
8125	0.026	3050	-0.44	3232	11	2	276	879	11626.78513	1660.107802
9001	0.078	3060	1.4	8053	35	150	291	819	11710.81548	1662.579674
9003	0.088	3070	1.6	5165	10	92	141	750	11795.17601	1665.047143
9005	0.079	3080	0.019	3015	52	3	281	841	11879.86694	1667.510232
9007	0.067	3090	0.24	6323	27	140	128	773	11964.88847	1669.968963
9009	0.089	3100	0.11	5494	93	105	195	960	12050.24083	1672.423358
9011	0.076	3110	0.082	4294	51	71	171	830	12135.92422	1674.873438
9013	0.067	3120	0.22	6049	62	148	34	820	12221.93886	1677.319224
9015	0.09	3130	0.79	1781	15	22	162	893	12308.28496	1679.760738
10001	0.079	3140	1.1	9262	80	106	66	807	12394.96274	1682.198002
10003	0.086	3150	1	2444	3	51	209	971	12481.97241	1684.631035
10005	0.073	3160	0.77	9216	13	105	223	979	12569.31418	1687.059859
11001	0.117	3170	0.42	2077	36	148	163	821	12656.98825	1689.484494
12001	0.071	3180	-0.85	2440	48	135	39	795	12744.99484	1691.90496
12003	0.114	3190	-0.83	1515	78	13	158	984	12833.33416	1694.321278
12005	0.089	3200	0.35	123	68	116	50	802	12922.00641	1696.733469
12007	0.083	3210	0.54	1520	92	53	343	957	13011.01182	1699.141551
12009	0.111	3220	-0.18	7389	26	6	144	798	13100.35057	1701.545544
12011	0.098	3230	0.39	7619	67	67	317	843	13190.02289	1703.945469
12013	0.082	3240	0.91	8012	64	25	183	889	13280.02897	1706.341344
12015	0.127	3250	-0.5	2551	61	1	189	926	13370.36903	1708.733189
12017	0.121	3260	-1.5	2622	8	143	200	921	13461.04327	1711.121024
12019	0.098	3270	-0.34	589	85	73	163	866	13552.05189	1713.504866
12021	0.131	3280	0.31	4961	3	25	315	973	13643.3951	1715.884736
12023	0.09	3290	1.5	4390	35	79	139	822	13735.07311	1718.26065
12027	0.117	3300	-0.57	3923	7	3	211	959	13827.08612	1720.63263
12029	0.123	3310	0.72	6589	57	95	21	882	13919.43433	1723.000691
12031	0.112	3320	-0.044	3200	57	83	279	763	14012.11794	1725.364854
12033	0.098	3330	0.4	3693	76	97	332	841	14105.13716	1727.725136
12035	0.162	3340	0.21	3698	63	49	13	954	14198.49219	1730.081554
12037	0.071	3350	-0.78	4457	52	74	159	929	14292.18323	1732.434128
12039	0.096	3360	-0.75	9498	91	76	141	979	14386.21049	1734.782874
12041	0.1	3370	-0.5	4727	10	135	83	860	14480.57415	1737.12781
12043	0.1	3380	-0.72	9209	60	138	225	780	14575.27443	1739.468954
12045	0.098	3390	-1.6	4041	42	93	4	816	14670.31152	1741.806323
12047	0.113	3400	-0.4	5308	22	122	325	957	14765.68562	1744.139934
12049	0.126	3410	-1.3	8730	23	17	291	891	14861.39693	1746.469805
12051	0.168	3420	-0.95	5992	58	71	88	845	14957.44565	1748.795951
12053	0.138	3430	0.21	5219	11	72	7	891	15053.83197	1751.118391
12055	0.116	3440	-0.98	2316	52	132	95	946	15150.55609	1753.43714
12057	0.115	3450	-0.97	1311	40	30	69	984	15247.61822	1755.752215
12059	0.072	3460	-0.49	6740	96	54	298	951	15345.01853	1758.063633
12061	0.152	3470	-2	6521	1	145	48	915	15442.75725	1760.37141
12063	0.072	3480	0.24	5455	49	92	89	894	15540.83454	1762.675563
12065	0.085	3490	1.7	5735	56	5	187	929	15639.25062	1764.976106
12067	0.072	3500	0.036	1894	31	53	3	980	15738.00567	1767.273057
12069	0.123	3510	-2.3	1668	43	67	164	796	15837.0999	1769.566431
12071	0.139	3520	-1.4	9841	66	32	3	797	15936.53349	1771.856244
12073	0.072	3530	-1.1	5878	95	111	329	933	16036.30663	1774.142511
12075	0.121	3540	-1.5	7905	88	144	229	922	16136.41953	1776.425249
12077	0.053	3550	0.64	1935	70	130	108	882	16236.87236	1778.704472
12079	0.117	3560	1	19	11	92	84	811	16337.66533	1780.980195
12081	0.127	3570	0.47	1739	58	105	28	883	16438.79863	1783.252434
12083	0.133	3580	0.13	6560	22	9	209	887	16540.27244	1785.521204
12085	0.119	3590	0.32	9533	18	136	59	864	16642.08696	1787.78652
12086	0.113	3600	0.56	9952	54	121	320	777	16744.24237	1790.048397
12087	0.07	3610	-0.35	4786	16	20	160	923	16846.73887	1792.30685
12089	0.107	3620	-0.35	7844	1	103	215	990	16949.57665	1794.561892
12091	0.072	3630	0.15	4579	38	52	220	821	17052.75589	1796.813539
12093	0.133	3640	0.73	6554	60	21	181	813	17156.27678	1799.061805
12095	0.114	3650	0.29	9272	98	6	165	978	17260.13951	1801.306705
12097	0.128	3660	0.56	4714	4	20	276	919	17364.34428	1803.548253
12099	0.117	3670	0.45	6116	11	91	316	885	17468.89126	1805.786462
12101	0.125	3680	-2.3	6910	38	25	27	842	17573.78064	1808.021348
12103	0.112	3690	-1.3	2823	78	141	40	846	17679.01261	1810.252923
12105	0.127	3700	-1.5	5276	85	15	329	855	17784.58735	1812.481202
12107	0.122	3710	0.54	932	81	94	146	972	17890.50506	1814.706198
12109	0.09	3720	-1.1	2991	22	120	276	867	17996.76591	1816.927926
12111	0.153	3730	-0.57	4159	95	101	350	837	18103.3701	1819.146398
12113	0.094	3740	0.35	3427	42	114	75	754	18210.31779	1821.361628
12115	0.123	3750	0.54	4941	47	75	234	827	18317.60919	1823.57363
